tdh918@WIN-NB-3SHB6N:~/file_watch_example$ head -100
"Product 1";bar_code_6582e7b7703ee7.55242121;33;EUR
"Product 2";bar_code_6582e7b7704ac3.82563747;44;EUR
"Product 3";bar_code_6582e7b7704bb7.78412152;24;EUR
"Product 4";bar_code_6582e7b7704c21.02335995;22;EUR
"Product 5";bar_code_6582e7b7704c78.80649757;37;EUR
"Product 6";bar_code_6582e7b7704cc0.79653915;22;EUR
"Product 7";bar_code_6582e7b7704d10.37581256;35;EUR
"Product 8";bar_code_6582e7b7704d67.82874479;25;EUR
"Product 9";bar_code_6582e7b7704db9.18810755;22;EUR
"Product 10";bar_code_6582e7b7704e07.82336636;30;EUR
"Product 11";bar_code_6582e7b7704e57.32572397;35;EUR
"Product 12";bar_code_6582e7b7704ea6.39777475;29;EUR
"Product 13";bar_code_6582e7b7704ee8.41758267;33;EUR
"Product 14";bar_code_6582e7b7704f30.54470567;20;EUR
"Product 15";bar_code_6582e7b7704f83.18120345;32;EUR
"Product 16";bar_code_6582e7b7704fd5.84543520;44;EUR
"Product 17";bar_code_6582e7b7705011.15898322;28;EUR
"Product 18";bar_code_6582e7b7705069.15389169;30;EUR
"Product 19";bar_code_6582e7b77050b8.74178249;43;EUR
"Product 20";bar_code_6582e7b7705103.65012718;39;EUR
"Product 21";bar_code_6582e7b7705151.85928035;37;EUR
"Product 22";bar_code_6582e7b7705193.78035453;26;EUR
"Product 23";bar_code_6582e7b77051e7.85354330;22;EUR
"Product 24";bar_code_6582e7b7705234.56501271;24;EUR
"Product 25";bar_code_6582e7b7705284.63085477;36;EUR
"Product 26";bar_code_6582e7b77052d9.81349050;49;EUR
"Product 27";bar_code_6582e7b7705326.07066890;25;EUR
"Product 28";bar_code_6582e7b7705371.71173305;21;EUR
"Product 29";bar_code_6582e7b77053c2.79532607;27;EUR
"Product 30";bar_code_6582e7b7705406.68137499;38;EUR
"Product 31";bar_code_6582e7b7705459.23221569;39;EUR
"Product 32";bar_code_6582e7b77054b5.89631045;30;EUR
"Product 33";bar_code_6582e7b77054f3.18726941;43;EUR
"Product 34";bar_code_6582e7b7705549.48668134;31;EUR
"Product 35";bar_code_6582e7b7705597.98290223;41;EUR
"Product 36";bar_code_6582e7b77055e2.71208544;37;EUR
"Product 37";bar_code_6582e7b7705630.47521405;49;EUR
"Product 38";bar_code_6582e7b7705671.09763444;32;EUR
"Product 39";bar_code_6582e7b77056c9.11753585;35;EUR
"Product 40";bar_code_6582e7b7705720.07559942;39;EUR
"Product 41";bar_code_6582e7b77057b1.48778244;46;EUR
"Product 42";bar_code_6582e7b7705876.32766746;49;EUR
"Product 43";bar_code_6582e7b7705904.18178096;31;EUR
"Product 44";bar_code_6582e7b7705990.97361302;43;EUR
"Product 45";bar_code_6582e7b7705a06.81726056;37;EUR
"Product 46";bar_code_6582e7b7705a59.62772731;43;EUR
"Product 47";bar_code_6582e7b7705a92.01991052;30;EUR
"Product 48";bar_code_6582e7b7705ae7.36563415;40;EUR
"Product 49";bar_code_6582e7b7705b35.40665681;31;EUR
"Product 50";bar_code_6582e7b7705b88.32192051;36;EUR
"Product 51";bar_code_6582e7b7705bc9.83741547;35;EUR
"Product 52";bar_code_6582e7b7705c11.44612637;23;EUR
"Product 53";bar_code_6582e7b7705c67.81884741;45;EUR
"Product 54";bar_code_6582e7b7705cb3.72474808;43;EUR
"Product 55";bar_code_6582e7b7705d06.02570692;22;EUR
"Product 56";bar_code_6582e7b7705d48.60849868;39;EUR
"Product 57";bar_code_6582e7b7705d97.37655873;35;EUR
"Product 58";bar_code_6582e7b7705de1.93928002;50;EUR
"Product 59";bar_code_6582e7b7705e32.92671511;38;EUR
"Product 60";bar_code_6582e7b7705e77.47523832;23;EUR
"Product 61";bar_code_6582e7b7705ec1.23910693;45;EUR
"Product 62";bar_code_6582e7b7705f10.02166522;43;EUR
"Product 63";bar_code_6582e7b7705f66.21968504;48;EUR
"Product 64";bar_code_6582e7b7705fc8.52137923;41;EUR
"Product 65";bar_code_6582e7b7706012.77402634;47;EUR
"Product 66";bar_code_6582e7b7706074.86770893;45;EUR
"Product 67";bar_code_6582e7b77060c9.92818635;25;EUR
"Product 68";bar_code_6582e7b7706114.65717251;27;EUR
"Product 69";bar_code_6582e7b7706160.42399046;41;EUR
"Product 70";bar_code_6582e7b77061b1.98877120;44;EUR
"Product 71";bar_code_6582e7b7706207.17751633;41;EUR
"Product 72";bar_code_6582e7b7706260.09821339;42;EUR
"Product 73";bar_code_6582e7b77062b3.18962665;21;EUR
"Product 74";bar_code_6582e7b7706304.78785817;24;EUR
"Product 75";bar_code_6582e7b7706359.50472930;37;EUR
"Product 76";bar_code_6582e7b77063a7.19899092;43;EUR
"Product 77";bar_code_6582e7b77063f8.63084025;36;EUR
"Product 78";bar_code_6582e7b7706447.31569847;49;EUR
"Product 79";bar_code_6582e7b7706645.47391582;34;EUR
"Product 80";bar_code_6582e7b77066c6.76894129;31;EUR
"Product 81";bar_code_6582e7b7706710.36890564;39;EUR
"Product 82";bar_code_6582e7b7706760.86817539;49;EUR
"Product 83";bar_code_6582e7b77067c5.52118233;20;EUR
"Product 84";bar_code_6582e7b7706817.77982773;24;EUR
"Product 85";bar_code_6582e7b7706867.81750253;47;EUR
"Product 86";bar_code_6582e7b77068b5.49850766;30;EUR
"Product 87";bar_code_6582e7b7706902.51288239;23;EUR
"Product 88";bar_code_6582e7b7706962.68773134;22;EUR
"Product 89";bar_code_6582e7b77069b2.05992766;46;EUR
"Product 90";bar_code_6582e7b7706a05.02676040;26;EUR
"Product 91";bar_code_6582e7b7706a55.02643047;39;EUR
"Product 92";bar_code_6582e7b7706aa7.95132512;37;EUR
"Product 93";bar_code_6582e7b7706b01.67641399;31;EUR
